Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
CHINA OCEAN RESTAURANT,Restaurant,1077 BLOOR ST W	 	TORONTO	 	ON M6H 1M5,TORONTO,416-537-7156,36,36,0,
CHIPOTLE MEXICAN GRILL,Restaurant,10 DUNDAS ST E                           UNIT 114	 	TORONTO	 	ON M5B 1R7,TORONTO,303-222-2524,55,55,0,
CHIU CHOW BOY,Restaurant,"3261 KENNEDY ROAD                        UNITS 3, 4, & 5	 	TORONTO	 	ON M1V 2K1",TORONTO,416-335-0336,184,184,0,
CHO WON FAMILY RESTAURANT,Restaurant,17 DREWRY AVE	 	TORONTO	 	ON M2M 2C9,TORONTO,416-250-7422,65,65,0,
CHO'S WOK,Restaurant,2500 EGLINTON AVE E	 	TORONTO	 	ON M1K 2R5,TORONTO,416-265-3088,30,30,0,
CHODANG SOON TOFU,Restaurant,5130A DUNDAS ST W	 	TORONTO	 	ON M9A 1C2,TORONTO,416-234-1161,28,28,0,
CHOPIN RESTAURANT,Restaurant,165 RONCESVALLES AVE	 	TORONTO	 	ON M6R 2L3,TORONTO,416-536-6228,32,28,4,
CHRISTINA'S ON THE DANFORTH,Restaurant,492 DANFORTH AVE	 	TORONTO	 	ON M4K 1P6,TORONTO,416-463-4418,152,107,45,
CHUCK E. CHEESE'S,Restaurant,2452 SHEPPARD AVE E	 	TORONTO	 	ON M2J 1X1,TORONTO,416-497-8855,543,543,0,
CHURCH ST. DINER (THE),Restaurant,555 CHURCH ST                            UNIT #100	 	TORONTO	 	ON M4Y 2E2,TORONTO,416-324-8724,30,30,0,
CHURCHMOUSE & FIRKIN (THE),Restaurant,475 CHURCH ST	 	TORONTO	 	ON M4Y 2C5,TORONTO,416-927-1735,207,147,60,
CHURRASQUEIRA BEIRA MAR,Restaurant,"995 WESTON ROAD                          UNITS C,D,E	 	TORONTO	 	ON M6N 3R9",TORONTO,416-767-1433,110,70,40,
CHURRASQUEIRA COSTA VERDE BAR-B-Q CHICKEN,Restaurant,370-372 OAKWOOD AVE	 	TORONTO	 	ON M6E 2W3,TORONTO,416-658-9577,40,40,0,
CHURRASQUEIRA MARTINS,Restaurant,605 ROGERS ROAD                          UNIT D	 	TORONTO	 	ON M6M 1B9,TORONTO,416-917-0087,228,100,128,
CHURRASQUEIRA PRAIA DA VAGUEIRA,Restaurant,325 WESTON ROAD                          UNIT 9D	 	TORONTO	 	ON M6N 4Z9,TORONTO,416-761-9119,58,58,0,
CHURRASQUEIRA VAGUENSE,Restaurant,1686 ST CLAIR AVE W	 	TORONTO	 	ON M6N 1H8,TORONTO,416-654-1570,55,30,25,
CHUTNEYS FINE INDIAN CUISINE,Restaurant,3077 BLOOR ST W	 	TORONTO	 	ON M8X 1C7,TORONTO,416-231-1367,30,30,0,
CI VEDIAMO RISTORANTE,Restaurant,1910 QUEEN ST. E	 	TORONTO	 	ON M4L 1H7,TORONTO,416-694-5966,89,54,35,
CIAO WINE BAR,Restaurant,133 YORKVILLE AVE	 	TORONTO	 	ON M5R 1C4,TORONTO,416-925-2143,600,540,60,
CIELO RESTAURANT,Restaurant,31 ELM ST	 	TORONTO	 	ON M5G 1H1,TORONTO,416-560-5615,117,103,14,
CINDY'S CAFE & RESTAURANT,Restaurant,2461 ST. CLAIR AVE W	 	TORONTO	 	ON M6N 1K9,TORONTO,416-762-9658,29,29,0,
CINEPLEX ODEON VARSITY CINEMAS,Motion Picture Theatre,55 BLOOR ST W	 	TORONTO	 	ON M4W 1A5,TORONTO,416-961-6303,318,318,0,
CINQ 0 1,Restaurant/Bar,501 COLLEGE ST	 	TORONTO	 	ON M6G 1A5,TORONTO,416-964-1555,110,110,0,
CIRCA,Restaurant,126 JOHN ST	 	TORONTO	 	ON M5V 2E3,TORONTO,416-979-0044,2828,2828,0,
CIRO'S RESTAURANT,Restaurant,1316 BLOOR ST W	 	TORONTO	 	ON M6H 1P2,TORONTO,416-533-4914,91,46,45,
CJ GINO'S PIZZA BAR & GRILL,Restaurant,2067 DUNDAS ST W	 	TORONTO	 	ON M6R 1W8,TORONTO,416-535-8888,233,130,103,
CLASSIC COCKTAILS BAR & GRILL,Restaurant,1805 WILSON AVE                          UNIT 5	 	TORONTO	 	ON M9M 1A2,TORONTO,905-874-0352,294,222,72,
CLASSIC ITALIAN PIZZA,Restaurant,591 COLLEGE ST	 	TORONTO	 	ON M6G 1B2,TORONTO,416-537-0078,21,21,0,
CLASSICO LOUIE'S PIZZERIA,Restaurant,2549 YONGE ST	 	TORONTO	 	ON M4P 2H9,TORONTO,416-322-3267,46,36,10,
CLASSICO PIZZA & PASTA,Restaurant,2457-59 BLOOR ST W	 	TORONTO	 	ON M6S 1P7,TORONTO,416-763-1313,53,28,25,
CLEOPATRA RESTAURANT,Restaurant,977 BLOOR ST. W	 	TORONTO	 	ON M6H 1L7,TORONTO,416-539-0259,40,40,0,
CLINTON'S,Restaurant/Bar,693 BLOOR ST W	 	TORONTO	 	ON M6G 1L5,TORONTO,416-535-9541,309,255,54,
CLOAK & DAGGER IRISH PUB,Restaurant,394 COLLEGE ST	 	TORONTO	 	ON M5T 1S7,TORONTO,416-436-0228,95,48,47,
CLUB CAYO COCO,Restaurant,304 RICHMOND ST W	 	TORONTO	 	ON M5V 1X2,TORONTO,416-593-9000,146,140,6,
CLUB HISPANO,Restaurant,3465 DUNDAS ST. W	 	TORONTO	 	ON M6S 2S5,TORONTO,416-760-7210,399,399,0,
CLUB LUCKY,Restaurant,117-119 JOHN ST	 	TORONTO	 	ON M5V 2E2,TORONTO,416-977-8890,404,325,79,
CLUB PARADISE,Hotel/Motel,1313 BLOOR ST W	 	TORONTO	 	ON M6H 1P1,TORONTO,416-535-0723,165,165,0,
CLUB V,Restaurant,88 YORKVILLE AVE	 	TORONTO	 	ON M5R 1B9,TORONTO,416-975-4397,357,291,66,
CO-CO TWENTY THREE,Karaoke Bar/Restaurant,699 BLOOR ST W                           BASEMENT LEVEL	 	TORONTO	 	ON M6G 1L5,TORONTO,416-885-9005,66,66,0,
COACH HOUSE RESTAURANT,Restaurant,574 YONGE ST.	 	TORONTO	 	ON M4Y 1Z3,TORONTO,416-922-5551,53,53,0,
COBOURG (THE),Restaurant,533 PARLIAMENT ST.	 	TORONTO	 	ON M4X 1P3,TORONTO,416-913-7538,52,52,0,
COBRA,Restaurant,500 KING ST W                            BASEMENT	 	TORONTO	 	ON M5V 1L7,TORONTO,416-361-9004,340,250,90,
COCINA LUCERO,Restaurant,523 YONGE ST                             UNIT 1	 	TORONTO	 	ON M4Y 1Y3,TORONTO,416-923-4545,86,30,56,
COCK & BULL CATERING,Restaurant,4700 KEELE ST                            YORK UNIVERSITY - 023 FOUNDERS COLLEGE	 	TORONTO	 	ON M3J 1P3,TORONTO,416-736-2100,176,82,94,
COCK & TAIL (THE),Restaurant,1168 QUEEN ST W	 	TORONTO	 	ON M6J 1J5,TORONTO,416-534-8626,30,30,0,
COCO LEZZONE,Restaurant,602 COLLEGE ST	 	TORONTO	 	ON M6G 1B4,TORONTO,416-535-1489,154,146,8,
COCO RICE,Restaurant,669 KING ST. W	 	TORONTO	 	ON M5V 1M9,TORONTO,416-504-9434,79,79,0,
COCO'S PLACE,Restaurant,2480 EGLINTON AVE E	 	TORONTO	 	ON M1K 2R4,TORONTO,416-267-7003,64,64,0,
COCOBERRY CAFE,Restaurant,49 HARBOUR SQ	 	TORONTO	 	ON M5J 2G4,TORONTO,416-504-4456,99,39,60,
COFFEE MILL YORKVILLE (THE),Restaurant,99 YORKVILLE AVE.	 	TORONTO	 	ON M5R 3K5,TORONTO,416-920-2108,172,86,86,
COLBORNE LANE,Restaurant,45 COLBORNE ST	 	TORONTO	 	ON M5E 1E3,TORONTO,416-368-9009,120,120,0,
COLLEGE ST. RESTAURANT,Restaurant/Bar,856 COLLEGE ST	 	TORONTO	 	ON M6H 1A2,TORONTO,416-534-7500,114,60,54,
COLLEGE STREET BAR (THE),Restaurant,574 COLLEGE ST	 	TORONTO	 	ON M6G 1B3,TORONTO,416-533-2417,129,108,21,
COLLISION,Restaurant,573 COLLEGE ST	 	TORONTO	 	ON M6G 1B2,TORONTO,416-530-7569,133,92,41,
COLONEL MUSTARD'S PUB AND DELI,Restaurant,3030 DON MILLS ROAD	 	TORONTO	 	ON M2J 3C1,TORONTO,416-492-6780,152,105,47,
COM TAM DAO VIEN (PEACH GARDEN RESTAURANT),Restaurant,1018 GERRARD ST E	 	TORONTO	 	ON M4M 1Z3,TORONTO,416-916-6432,85,85,0,
COM TAM DAO VIEN EXPRESS,Restaurant,2721 JANE ST                             UNIT 12	 	TORONTO	 	ON M3L 1S3,TORONTO,416-849-9322,133,133,0,
COM TAN DAO VIEN (PEACH GARDEN RESTAURANT),Restaurant,332 SPADINA AVE	 	TORONTO	 	ON M5T 2G2,TORONTO,416-971-9719,58,58,0,
COMEDY BAR,Theatre,945-B BLOOR ST W	 	TORONTO	 	ON M6H 1L5,TORONTO,416-697-8999,82,82,0,
"COMFORT SUITES HOTEL, TORONTO CITY CENTRE",Hotel/Motel,200 DUNDAS ST E                          TORONTO CITY CENTRE	 	TORONTO	 	ON M5A 4R6,TORONTO,416-362-7700,287,287,0,
COMMON ESPRESSO BAR(THE),Restaurant,1071 COLLEGE ST	 	TORONTO	 	ON M6H 1B2,TORONTO,416-546-7789,24,24,0,
COMMUNIST'S DAUGHTER (THE),Restaurant,1149 DUNDAS ST W	 	TORONTO	 	ON M6J 1X3,TORONTO,647-435-0103,28,28,0,
COMMUTERS,Restaurant,65 FRONT ST W                            UNION STATION	 	TORONTO	 	ON M5J 1E7,TORONTO,416-368-6565,41,41,0,
COMRADE (THE),Restaurant,758 QUEEN ST E	 	TORONTO	 	ON M4M 1H4,TORONTO,416-778-9449,30,30,0,
CONCOURSE RESTAURANT,Restaurant,2853 DUNDAS ST W	 	TORONTO	 	ON M6P 1Y6,TORONTO,416-766-7051,95,95,0,
CONGEE QUEEN,Restaurant,895 LAWRENCE AVE E                       UNIT 8	 	TORONTO	 	ON M3C 3L2,TORONTO,416-916-0338,145,145,0,
CONGEE TIME,Restaurant,5817 YONGE ST	 	TORONTO	 	ON M2M 3T9,TORONTO,416-225-6688,189,189,0,
CONVICTION RESTAURANT,Restaurant,609 KING ST W	 	TORONTO	 	ON M5V 1M5,TORONTO,416-603-2777,167,140,27,
COOL RUNNINGS RESTAURANT,Restaurant,2708 DANFORTH AVE	 	TORONTO	 	ON M4C 1L7,TORONTO,416-558-5552,36,36,0,
COOL RUNNINGS RESTAURANT,Restaurant,146 MAIN ST	 	TORONTO	 	ON M4E 2V8,TORONTO,416-693-8724,24,24,0,
COPA CABANA GRILLED BRAZILIAN,Restaurant,150 EGLINTON AVE E                       UNIT 105	 	TORONTO	 	ON M4P 1E8,TORONTO,416-916-2099,198,170,28,
COPAS CAFE,Restaurant,229 GEARY AVE	 	TORONTO	 	ON M6H 2C1,TORONTO,416-516-2179,208,138,70,
COPPERPIPE (THE),Restaurant,924 KINGSTON ROAD	 	TORONTO	 	ON M4E 1S5,TORONTO,416-690-6081,35,35,0,
COPPI RISTORANTE,Restaurant,3363 YONGE ST	 	TORONTO	 	ON M4N 2M6,TORONTO,416-484-4464,150,150,0,
COQUINE RESTAURANT,Restaurant,2075-77 YONGE ST	 	TORONTO	 	ON M4S 2A4,TORONTO,416-322-6767,188,142,46,
CORA'S BREAKFAST & LUNCH,Restaurant (Franchise),277 WELLINGTON ST W                      UNIT 100B (GROUND FLOOR)	 	TORONTO	 	ON M5V 3H2,TORONTO,416-598-2672,139,109,30,
CORNED BEEF HOUSE,Restaurant,303 ADELAIDE ST W	 	TORONTO	 	ON M5V 1P7,TORONTO,416-977-2333,98,50,48,
CORNER HOUSE (THE),Restaurant,501 DAVENPORT ROAD	 	TORONTO	 	ON M4V 1B8,TORONTO,416-923-2604,95,50,45,
CORNERSTONE BAKERY CAFE,Restaurant,93 GUILDWOOD PKWY                        (CITY OF SCARBOROUGH)	 	TORONTO	 	ON M1E 1P1,TORONTO,416-261-9537,32,32,0,
CORNERSTONE PUB,Restaurant,537 COLLEGE ST	 	TORONTO	 	ON M6G 1A9,TORONTO,416-944-8297,52,29,23,
COSMOPOLITAN HOTEL,Restaurant,8 COLBORNE ST	 	TORONTO	 	ON M5E 1E1,TORONTO,416-350-2000,105,105,0,
COSMOPOLITAN HOTEL,Hotel/Motel,8 COLBORNE ST	 	TORONTO	 	ON M5E 1E1,TORONTO,416-350-2000,37,37,0,
COUNTRY STYLE HUNGARIAN RESTAURANT,Restaurant,450 BLOOR ST W	 	TORONTO	 	ON M5S 1X8,TORONTO,416-536-5966,61,61,0,
COURENSE BAKERY,Restaurant,1010 BLOOR ST W                          (1014 IS AN ENTRANCE ADDRESS)	 	TORONTO	 	ON M6H 1M2,TORONTO,416-536-1522,60,60,0,
COURT HOUSE (THE),Restaurant,57 ADELAIDE ST E	 	TORONTO	 	ON M5C 1K6,TORONTO,416-214-9379,440,440,0,
COURT JESTER PUB (DANFORTH) THE,Restaurant,609 DANFORTH AVE	 	TORONTO	 	ON M4K 1R2,TORONTO,416-465-3700,77,70,7,
COURT YARD RESTAURANT BISTRO,Restaurant,121 YORKVILLE AVE	 	TORONTO	 	ON M5R 1C4,TORONTO,416-513-9688,184,102,82,
COURTYARD BY MARRIOTT - DOWNTOWN TORONTO,Hotel/Motel,475 YONGE ST	 	TORONTO	 	ON M4Y 1X7,TORONTO,416-924-0611,1556,1556,0,
COURTYARD BY MARRIOTT - TORONTO AIRPORT,Hotel/Motel,231 CARLINGVIEW DRIVE	 	TORONTO	 	ON M9W 5E8,TORONTO,416-675-0411,341,341,0,
COW & PICKLE,Restaurant,314 PARLIAMENT ST	 	TORONTO	 	ON M5A 2Z7,TORONTO,416-849-5587,30,30,0,
COWBELL RESTAURANT,Bar /Tavern /Nightclub,1564 QUEEN ST W	 	TORONTO	 	ON M6R 1A6,TORONTO,416-849-1095,34,30,4,
COZY CAFE,Bar/Sports Bar,23 SPRING GARDEN AVE	 	TORONTO	 	ON M2N 3G1,TORONTO,416-512-0200,31,31,0,
COZZY CORNER,Restaurant/Bar,4664 YONGE ST                            UNIT 23	 	TORONTO	 	ON M2N 5M1,TORONTO,416-222-2522,65,65,0,
CRAVINGS ASIAN CUISINE,Restaurant,3395 YONGE ST	 	TORONTO	 	ON M4N 2M8,TORONTO,416-322-2200,65,65,0,
CRAZY SUSHI BISTRO,Restaurant,"808 YORK MILLS ROAD                      BUILDING A, UNITS 18 & 19	 	TORONTO	 	ON M3B 1X8",TORONTO,416-443-8988,116,93,23,
CREAM TANGERINE RESTAURANT,Restaurant/Bar,1087 - 1089 QUEEN ST W	 	TORONTO	 	ON M6J 1H3,TORONTO,416-537-0803,303,303,0,
CREASIANS BBQ,Restaurant,3 GERRARD ST E	 	TORONTO	 	ON M5B 2K8,TORONTO,416-260-8885,95,95,0,
CREPERIE LA BREHANDAISE,Restaurant,942 QUEEN ST W	 	TORONTO	 	ON M6J 6N4,TORONTO,416-917-4740,51,26,25,
CRESCENT TOWN RESTAURANT & TAVERN,Restaurant,17 THE MARKET PLACE                      CRESCENT TOWN	 	TORONTO	 	ON M4C 5M2,TORONTO,416-691-6448,102,102,0,
CREWS & TANGOS RESTAURANT & BAR,Restaurant,508-510 CHURCH ST	 	TORONTO	 	ON M4Y 2C8,TORONTO,416-972-1915,372,266,106,
CRISPY ROLL JAPANESE RESTAURANT,Restaurant,263 QUEEN ST W	 	TORONTO	 	ON M5V 1Z4,TORONTO,416-599-7997,30,30,0,
CROCODILE ROCK,Restaurant,240 ADELAIDE ST W	 	TORONTO	 	ON M5H 1W7,TORONTO,416-599-9751,550,550,0,
CROISSANT TREE (THE),Restaurant,625 CHURCH ST.	 	TORONTO	 	ON M4Y 2G1,TORONTO,416-925-8379,113,65,48,
CROOKED STAR (THE),Restaurant,202 OSSINGTON AVE	 	TORONTO	 	ON M6J 2Z7,TORONTO,416-536-7271,46,33,13,
CROSSROADS TAVERN,Restaurant,395 KEELE ST	 	TORONTO	 	ON M6P 2K9,TORONTO,416-767-5224,39,39,0,
CROWN & DRAGON PUB (THE),Restaurant,890 YONGE ST	 	TORONTO	 	ON M4W 3P4,TORONTO,416-927-7976,62,43,19,
CROWN AND TIGER BAR,Restaurant,414 COLLEGE ST	 	TORONTO	 	ON M5T 1T3,TORONTO,416-920-3115,242,185,57,
CROWN PRINCE FINE DINING AND BANQUET,Restaurant,3600 VICTORIA PARK AVE	 	TORONTO	 	ON M2H 3B2,TORONTO,416-498-1818,416,416,0,
CRUSH WINE BAR & RESTAURANT,Restaurant,455 KING ST W	 	TORONTO	 	ON M5V 1K4,TORONTO,416-977-1234,228,192,36,
CRYSTAL ROLLS INC.,Restaurant,372 BLOOR ST W	 	TORONTO	 	ON M5S 1X2,TORONTO,416-921-6787,47,47,0,
CRYSTAL SEAFOOD RESTAURANT,Restaurant,632 VAUGHAN RD	 	TORONTO	 	ON M6E 2Y3,TORONTO,416-656-6632,50,40,10,
CRYSTAL 5 AND FOOD STUDIO CAFE,Restaurant,100 QUEENS PARK                          ROYAL ONTARIO MUSEUM	 	TORONTO	 	ON M5S 2C6,TORONTO,416-586-8000,439,439,0,
CUISCENE RESTAURANT,Restaurant,290 YONGE ST                             TORONTO EATON CENTRE--4TH FLOOR	 	TORONTO	 	ON M5B 1C8,TORONTO,416-349-7111,290,290,0,
CUPPS COFFEE HOUSE,Restaurant,622 COLLEGE ST                           UNIT 1	 	TORONTO	 	ON M6G 1B6,TORONTO,416-536-1633,55,55,0,
CURLY OAK RESTAURANT AND TAVERN,Restaurant,244 KING ST E	 	TORONTO	 	ON M5A 1K1,TORONTO,416-594-3737,188,68,120,
CURRY TWIST RESTAURANT,Restaurant,3034 DUNDAS ST W	 	TORONTO	 	ON M6P 1Z3,TORONTO,416-769-5460,30,30,0,
CURVA NORD BAR,Restaurant,772 WILSON AVE                           CITY OF NORTH YORK	 	TORONTO	 	ON M3K 1E2,TORONTO,416-630-3147,30,30,0,
CURZON,Restaurant,1192 QUEEN ST E	 	TORONTO	 	ON M4L 1A1,TORONTO,416-465-2135,148,68,80,
CUSINA LOUNGE,Karaoke Bar/Restaurant,288A WILSON AVE	 	TORONTO	 	ON M3H 1S8,TORONTO,416-638-8778,80,80,0,
CYPRIOT COMMUNITY OF TORONTO,Restaurant,6 THORNCLIFFE PARK DR	 	TORONTO	 	ON M4H 1H1,TORONTO,416-696-7400,339,339,0,
CZEHOSKI BAR,Restaurant,678 QUEEN ST W	 	TORONTO	 	ON M6J 1E5,TORONTO,416-366-6787,149,114,35,
D G A RESTO CAFE,Restaurant,377 MARLEE AVE	 	TORONTO	 	ON M6B 3H9,TORONTO,416-916-6936,97,66,31,
D.Y. KARAOKE,Restaurant,530 DUNDAS ST W                          2ND FLOOR	 	TORONTO	 	ON M5T 1H3,TORONTO,647-343-3819,100,100,0,
D&R WING'S RESTAURANT,Restaurant,325 BAMBURGH CIR	 	TORONTO	 	ON M1W 3Y1,TORONTO,416-502-0862,72,72,0,
D'AVERSA RESTAURANT,Restaurant,1 TORO ROAD	 	TORONTO	 	ON M3J 2A4,TORONTO,416-638-3271,123,97,26,
D'PAVILION RESTAURANT & LOUNGE,Restaurant/Club,3300 LAWRENCE AVE E                      UNIT 1 & 2	 	TORONTO	 	ON M1H 1A6,TORONTO,416-913-3387,129,114,15,
DA FU SEAFOOD CUISINE,Restaurant,"5651 STEELES AVE E                       UNIT 1,2 & 3	 	TORONTO	 	ON M1V 5P6",TORONTO,416-321-6898,163,163,0,
DA GIANNI E MARIA TRATTORIA,Restaurant,796 ST CLAIR AVE W	 	TORONTO	 	ON M6C 1B6,TORONTO,416-652-3982,142,96,46,
DA LEONARDO BISTRO,Restaurant,1239A ST CLAIR AVE W	 	TORONTO	 	ON M6E 1B5,TORONTO,416-651-9025,60,22,38,
DA MARIA PIZZERIA & PORTO REST,Restaurant,572 ST CLAIR AVE W	 	TORONTO	 	ON M6C 1A6,TORONTO,416-653-1043,51,32,19,
DA PEPPINO FINE EATERY & ESPRESSO BAR,Restaurant,2201 FINCH AVE. W                        UNIT #3	 	TORONTO	 	ON M9M 2Y9,TORONTO,416-740-9703,127,127,0,
DA PLACE 2B,Restaurant,925 WESTON ROAD	 	TORONTO	 	ON M6N 3R4,TORONTO,416-769-9808,153,153,0,
DAD & ME KEBOB HOUSE,Restaurant,888 BLOOR ST W	 	TORONTO	 	ON M6G 1M5,TORONTO,647-347-2560,22,22,0,
DADDYO'S PASTA & SALADS,Restaurant,673 SPADINA AVE	 	TORONTO	 	ON M5S 2H9,TORONTO,416-598-5522,58,28,30,
DAHLAK RESTAURANT,Restaurant,840 BLOOR ST W	 	TORONTO	 	ON M6G 1M2,TORONTO,416-840-0190,30,30,0,
DAILY EXPRESS CAFE,Restaurant,280 BLOOR ST W	 	TORONTO	 	ON M5S 3B9,TORONTO,416-944-3225,46,30,16,
DAILY SUSHI JAPANESE RESTAURANT,Restaurant,20 CARLTON ST                            UNIT 18-20	 	TORONTO	 	ON M5B 2H5,TORONTO,416-977-4333,37,37,0,
DAINTY GARDEN RESTAURANT,Restaurant,376 COLLEGE ST	 	TORONTO	 	ON M5T 1S6,TORONTO,416-929-1212,40,40,0,
DAIO JAPANESE RESTAURANT,Restaurant,45 CARLTON ST                            UNIT #5	 	TORONTO	 	ON M5B 2H9,TORONTO,416-260-2116,41,30,11,
DAKOTA TAVERN (THE),Restaurant,249 OSSINGTON AVE.	 	TORONTO	 	ON M6J 3A1,TORONTO,416-408-9513,130,130,0,
DALAT COFFEE,Restaurant,182 OSSINGTON AVE.	 	TORONTO	 	ON M6J 2Z7,TORONTO,416-537-0769,30,30,0,
DAMICO BAR LOUNGE,Bar /Tavern /Nightclub,1351 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1C5,TORONTO,416-651-4305,30,30,0,
DANFORTH BOWL,Restaurant,1554 DANFORTH AVE	 	TORONTO	 	ON M4J 1N4,TORONTO,416-463-3000,0,0,0,
DANFORTH DRAGON,Restaurant,861 DANFORTH AVE	 	TORONTO	 	ON M4J 1L8,TORONTO,416-461-9238,40,40,0,
DANGEROUS DAN'S DINER,Restaurant,714 QUEEN ST E	 	TORONTO	 	ON M4M 1H2,TORONTO,416-463-7310,28,28,0,
DANNY GREENS BILLIARDS BAR,Restaurant,1218 DANFORTH AVE                        2ND FLOOR	 	TORONTO	 	ON M4J 1M6,TORONTO,416-462-3733,120,120,0,
DAQUAN BARBECUE RESTAURANT,Restaurant,4186 FINCH AVE E                         UNIT 21 & 22	 	TORONTO	 	ON M1S 4T5,TORONTO,416-800-8238,40,40,0,
DARBAND RESTAURANT,Restaurant,879 YORK MILLS RD                        UNIT 8	 	TORONTO	 	ON M3B 1Y5,TORONTO,416-445-1777,45,45,0,
DARK HORSE,Restaurant,2401 BLOOR ST. W	 	TORONTO	 	ON M6S 1P7,TORONTO,416-769-4696,164,88,76,
DARVISH RESTAURANT,Restaurant,508 YONGE ST	 	TORONTO	 	ON M4Y 1X9,TORONTO,416-929-8893,30,30,0,
DAVE'S GOURMET PIZZA RESTAURANT,Restaurant,730 ST CLAIR AVE W	 	TORONTO	 	ON M6C 1B3,TORONTO,416-652-0337,109,99,10,
DAVENPORT GARDEN RESTAURANT,Restaurant,643 DUPONT ST	 	TORONTO	 	ON M6G 1Z4,TORONTO,416-537-2672,51,51,0,
DAYBREAK DINER,Restaurant,399 CHURCH ST	 	TORONTO	 	ON M5B 2J6,TORONTO,416-598-0004,74,55,19,
DAYS HOTEL & CONFERENCE CENTRE - TORONTO AIRPORT EAST,Hotel/Motel,1677 WILSON AVE	 	TORONTO	 	ON M3L 1A5,TORONTO,416-938-1666,1399,1279,120,
DAYS INN TORONTO DOWNTOWN,Hotel/Motel,30 CARLTON ST	 	TORONTO	 	ON M5B 2E9,TORONTO,416-977-6655,1097,1097,0,
DAZZLING MODERN RESTAURANT + BAR,Restaurant,291 KING ST W	 	TORONTO	 	ON M5V 1J5,TORONTO,416-599-9995,250,180,70,
DEBU'S NOUVELLE INDIAN CUISINE,Restaurant,552 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M6,TORONTO,416-927-9340,35,35,0,
DEBUT CAFE & BAR,Restaurant,121 KING ST W                            G2	 	TORONTO	 	ON M5H 3T9,TORONTO,416-364-6784,156,60,96,
DEJA VU,Restaurant,10 NORTHTOWN WAY                         UNIT 108-109	 	TORONTO	 	ON M2N 7L4,TORONTO,416-255-7587,28,28,0,
DELMANOR NORTHTOWN,Restaurant,5351 YONGE ST	 	TORONTO	 	ON M2N 7L5,TORONTO,416-225-9146,266,226,40,
DELRAY GRILL (THE),Restaurant,3369 DUNDAS ST W	 	TORONTO	 	ON M6S 2R9,TORONTO,416-767-1000,100,100,0,
DELTA CHELSEA HOTEL,Hotel/Motel,33 GERRARD ST W	 	TORONTO	 	ON M5G 1Z4,TORONTO,416-595-1975,3628,3182,446,
DELTA SPORTS BAR,Restaurant,247 OSSINGTON AVE.	 	TORONTO	 	ON M6J 3A1,TORONTO,416-538-8511,40,40,0,
DELTA TORONTO EAST,Hotel/Motel,2035 KENNEDY ROAD	 	TORONTO	 	ON M1T 3G2,TORONTO,416-299-9562,2344,2344,0,
DELUX,Bar /Tavern /Nightclub,92 OSSINGTON AVE	 	TORONTO	 	ON M6J 2Z4,TORONTO,416-537-0134,59,59,0,
DEM NAY VIETNAMESE CAFE,Restaurant,189 AUGUSTA AVE	 	TORONTO	 	ON M5T 2L4,TORONTO,416-880-4278,29,29,0,
DENISON FACILITIES,Restaurant,1 YUKON LANE	 	TORONTO	 	ON M3M 3J5,TORONTO,416-633-6200,1790,1412,378,
DESI CHEENA,Restaurant,5633 FINCH AVE E                         UNITS 2-4	 	TORONTO	 	ON M1B 5K9,TORONTO,416-293-8882,120,120,0,
DESIGN EXCHANGE,Restaurant,234 BAY ST	 	TORONTO	 	ON M5K 1B2,TORONTO,416-216-2140,880,880,0,
DETROIT EATERY RESTAURANT,Restaurant,389 DANFORTH AVE	 	TORONTO	 	ON M4K 1P1,TORONTO,416-461-0136,39,39,0,
DEVIL'S MARTINI (THE),Night Club,473 ADELAIDE ST W	 	TORONTO	 	ON M5V 1T1,TORONTO,416-603-9300,1350,1350,0,
DEVIL'S PLAYGROUND (THE),Restaurant,532 EVANS AVE	 	TORONTO	 	ON M8W 2V4,TORONTO,416-201-0333,150,150,0,
DHABA THE INDIAN VILLAGE,Restaurant,305-309 KING ST. W                       2ND FLOOR	 	TORONTO	 	ON M5V 1J5,TORONTO,416-740-6622,86,86,0,
DIDIER RESTAURANT,Restaurant,1496 YONGE ST	 	TORONTO	 	ON M4T 1Z6,TORONTO,416-925-8588,142,142,0,
DIEM XUA KARAOKE,Restaurant,814 DUNDAS ST W	 	TORONTO	 	ON M6J 1V3,TORONTO,416-703-6721,30,30,0,
DILLY'S SPORTS BAR LTD.,Restaurant,748 WILSON AVE	 	TORONTO	 	ON M3K 1E2,TORONTO,416-638-7030,122,122,0,
DIMMI TRATTORIA & BAR,Restaurant,140 CUMBERLAND ST	 	TORONTO	 	ON M5R 1A8,TORONTO,416-975-1100,157,122,35,
DINAZ CAFE & GRILL,Restaurant,141 CARTWRIGHT AVE                       UNIT 141	 	TORONTO	 	ON M6A 1V4,TORONTO,416-849-1833,101,76,25,
DINERS THAI,Restaurant,395 DANFORTH AVE	 	TORONTO	 	ON M4K 1N1,TORONTO,416-466-9222,42,36,6,
DISGRACELAND,Restaurant/Bar,965 BLOOR ST W	 	TORONTO	 	ON M6H 1L7,TORONTO,416-516-7844,96,96,0,
DISH COOKING STUDIO,Restaurant,390 DUPONT ST	 	TORONTO	 	ON M5R 1V9,TORONTO,416-920-5559,40,40,0,
